ZONE_CODE,DISEASE_CATEGORY,PREVALENCE_SCORE,SOURCE,UPDATED_DATE
APAC-TH-01,Diabetes,0.702,IQVIA-simulated,2026-07-12
APAC-TH-01,Respiratory,0.444,IQVIA-simulated,2026-07-12
APAC-TH-01,Cardiac,0.514,IQVIA-simulated,2026-07-12
APAC-TH-01,Renal,0.406,IQVIA-simulated,2026-07-12
APAC-TH-01,Oncology,0.438,IQVIA-simulated,2026-07-12
APAC-TH-02,Diabetes,0.708,IQVIA-simulated,2026-07-12
APAC-TH-02,Respiratory,0.583,IQVIA-simulated,2026-07-12
APAC-TH-02,Cardiac,0.484,IQVIA-simulated,2026-07-12
APAC-TH-02,Renal,0.438,IQVIA-simulated,2026-07-12
APAC-TH-02,Oncology,0.325,IQVIA-simulated,2026-07-12
APAC-TH-03,Diabetes,0.635,IQVIA-simulated,2026-07-12
APAC-TH-03,Respiratory,0.521,IQVIA-simulated,2026-07-12
APAC-TH-03,Cardiac,0.474,IQVIA-simulated,2026-07-12
APAC-TH-03,Renal,0.402,IQVIA-simulated,2026-07-12
APAC-TH-03,Oncology,0.424,IQVIA-simulated,2026-07-12
APAC-TH-04,Diabetes,0.687,IQVIA-simulated,2026-07-12
APAC-TH-04,Respiratory,0.475,IQVIA-simulated,2026-07-12
APAC-TH-04,Cardiac,0.564,IQVIA-simulated,2026-07-12
APAC-TH-04,Renal,0.5,IQVIA-simulated,2026-07-12
APAC-TH-04,Oncology,0.321,IQVIA-simulated,2026-07-12
APAC-TH-05,Diabetes,0.729,IQVIA-simulated,2026-07-12
APAC-TH-05,Respiratory,0.552,IQVIA-simulated,2026-07-12
APAC-TH-05,Cardiac,0.524,IQVIA-simulated,2026-07-12
APAC-TH-05,Renal,0.395,IQVIA-simulated,2026-07-12
APAC-TH-05,Oncology,0.473,IQVIA-simulated,2026-07-12
APAC-VN-01,Diabetes,0.474,IQVIA-simulated,2026-07-12
APAC-VN-01,Respiratory,0.555,IQVIA-simulated,2026-07-12
APAC-VN-01,Cardiac,0.415,IQVIA-simulated,2026-07-12
APAC-VN-01,Renal,0.476,IQVIA-simulated,2026-07-12
APAC-VN-01,Oncology,0.397,IQVIA-simulated,2026-07-12
APAC-VN-02,Diabetes,0.549,IQVIA-simulated,2026-07-12
APAC-VN-02,Respiratory,0.657,IQVIA-simulated,2026-07-12
